InstanceType:    	3
CustomerNumber:  	10
PeriodNumber:    	6
VechileNumber:   	2
VehicleCapacity: 	198
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 715.0 		 495.0 		    0 		   152		     304 	   3.0 		  30.0 		 3000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 445.0 		 795.0 		    10 		    30		   10 		   6.0
   2 		 380.0 		 1570.0 	    30 		    60		   15 		   9.0
   3 		 1425.0 	 315.0 		    30 		    60		   15 		   7.0
   4 		 2005.0 	 1625.0 	     7 		    21		    7 		   8.0
   5 		  80.0 		 1550.0 	    26 		    52		   13 		   6.0
   6 		 1335.0 	 2005.0 	    80 		   112		   16 		   6.0
   7 		 1245.0 	 615.0 		   110 		   154		   22 		   8.0
   8 		 2385.0 	 1190.0 	    13 		    39		   13 		   8.0
   9 		 1870.0 	 970.0 		    95 		   133		   19 		   9.0
  10 		 1385.0 	 505.0 		    88 		   132		   22 		   7.0
