InstanceType:    	3
CustomerNumber:  	20
PeriodNumber:    	6
VechileNumber:   	2
VehicleCapacity: 	283
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 1435.0 	 995.0 		    0 		   270		     540 	   3.0 		  30.0 		 3000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 890.0 		 1595.0 	    32 		    64		   16 		   7.0
   2 		 765.0 		 645.0 		    24 		    36		    6 		   8.0
   3 		 355.0 		 630.0 		    20 		    30		    5 		   9.0
   4 		 1510.0 	 755.0 		    18 		    36		    9 		   6.0
   5 		 165.0 		 605.0 		   105 		   147		   21 		   7.0
   6 		 170.0 		 1515.0 	    40 		    56		    8 		   6.0
   7 		 2490.0 	 1235.0 	   100 		   140		   20 		   7.0
   8 		 2275.0 	 2380.0 	    22 		    66		   22 		   7.0
   9 		 1240.0 	 1945.0 	    70 		    98		   14 		   9.0
  10 		 270.0 		 1015.0 	    19 		    57		   19 		   9.0
  11 		 1950.0 	 140.0 		    13 		    39		   13 		   6.0
  12 		 620.0 		 2005.0 	    68 		   102		   17 		   8.0
  13 		 1710.0 	 2130.0 	    65 		    91		   13 		   6.0
  14 		 795.0 		 710.0 		    70 		    98		   14 		   6.0
  15 		 1060.0 	 2235.0 	    20 		    30		    5 		   6.0
  16 		 1070.0 	 2050.0 	    20 		    60		   20 		   7.0
  17 		 650.0 		 655.0 		    25 		    35		    5 		   6.0
  18 		 450.0 		 1925.0 	    23 		    69		   23 		   9.0
  19 		 1370.0 	 460.0 		     7 		    21		    7 		   6.0
  20 		  10.0 		 810.0 		    65 		    91		   13 		   9.0
