InstanceType:    	3
CustomerNumber:  	30
PeriodNumber:    	3
VechileNumber:   	4
VehicleCapacity: 	171
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 2150.0 	 1495.0 	    0 		   384		     768 	   3.0 		  30.0 		 3000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 1335.0 	 2390.0 	    44 		   132		   22 		   7.0
   2 		 1150.0 	 2215.0 	    42 		   119		   17 		   7.0
   3 		 1785.0 	 950.0 		     7 		    45		   15 		   7.0
   4 		 1015.0 	 2380.0 	    11 		    44		   11 		   8.0
   5 		 245.0 		 2160.0 	     9 		    36		    9 		   8.0
   6 		 1505.0 	 1020.0 	    38 		   114		   19 		   6.0
   7 		 1235.0 	 1855.0 	    34 		   102		   17 		   6.0
   8 		 2165.0 	 1070.0 	     5 		    33		   11 		   6.0
   9 		 610.0 		 415.0 		    16 		    48		    8 		   9.0
  10 		 1655.0 	 1520.0 	    34 		   102		   17 		   6.0
  11 		 1680.0 	 210.0 		    14 		    42		    7 		   8.0
  12 		 2185.0 	 1760.0 	    32 		    91		   13 		   7.0
  13 		 1315.0 	 695.0 		    17 		    49		    7 		   6.0
  14 		 1195.0 	 1065.0 	     9 		    36		    9 		   6.0
  15 		 1595.0 	 2105.0 	    15 		    42		    6 		   8.0
  16 		 360.0 		 575.0 		    18 		    72		   18 		   6.0
  17 		 975.0 		 980.0 		    40 		   112		   16 		   6.0
  18 		 680.0 		 1640.0 	     6 		    36		   12 		   6.0
  19 		 2055.0 	 690.0 		    16 		    48		    8 		   6.0
  20 		  20.0 		 1215.0 	     3 		    21		    7 		   7.0
  21 		 605.0 		 530.0 		    35 		    98		   14 		   6.0
  22 		 200.0 		 240.0 		    10 		    30		    5 		   9.0
  23 		 320.0 		 1895.0 	    10 		    30		    5 		   9.0
  24 		 2030.0 	 1010.0 	    16 		    64		   16 		   8.0
  25 		 1795.0 	 870.0 		    47 		   133		   19 		   8.0
  26 		 1355.0 	 910.0 		     8 		    48		   16 		   7.0
  27 		 2380.0 	 120.0 		    18 		    72		   18 		   9.0
  28 		 1650.0 	 890.0 		    17 		    68		   17 		   6.0
  29 		 2390.0 	 1065.0 	    13 		    52		   13 		   6.0
  30 		 1125.0 	 1985.0 	    12 		    48		   12 		   8.0
