InstanceType:    	3
CustomerNumber:  	50
PeriodNumber:    	3
VechileNumber:   	3
VehicleCapacity: 	360
Supplier 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 ProdCapacity 	 HoldCost 	 VarCost 	 FixCost
   0 		 1090.0 	 2495.0 	    0 		   674		    1348 	   3.0 		  30.0 		 3000.0
Retailer 	 COORDX 	 COORDY 	 InitLevel 	 MaxLevel 	 Demand 	 HoldCost
   1 		 2225.0 	 1490.0 	     6 		    39		   13 		   8.0
   2 		 1920.0 	 365.0 		    18 		    72		   18 		   9.0
   3 		 2145.0 	 1580.0 	    40 		   112		   16 		   7.0
   4 		  30.0 		 640.0 		    37 		   105		   15 		   8.0
   5 		 410.0 		 270.0 		     6 		    24		    6 		   6.0
   6 		 1680.0 	  35.0 		    22 		    88		   22 		   6.0
   7 		 1230.0 	 595.0 		    24 		    72		   12 		   7.0
   8 		 1940.0 	 955.0 		     9 		    36		    9 		   7.0
   9 		 1850.0 	 2365.0 	    34 		   102		   17 		   8.0
  10 		 1930.0 	  40.0 		    22 		    66		   11 		   9.0
  11 		 1130.0 	 350.0 		    32 		    96		   16 		   8.0
  12 		 310.0 		 1270.0 	    10 		    30		    5 		   6.0
  13 		 525.0 		 330.0 		    37 		   105		   15 		   6.0
  14 		 1995.0 	 1775.0 	    19 		    76		   19 		   7.0
  15 		 155.0 		 1840.0 	     6 		    24		    6 		   8.0
  16 		 1430.0 	 125.0 		    13 		    52		   13 		   7.0
  17 		 1630.0 	 1635.0 	    34 		   102		   17 		   6.0
  18 		 1135.0 	 1070.0 	    11 		    44		   11 		   9.0
  19 		 930.0 		 1150.0 	    22 		    66		   11 		   7.0
  20 		  35.0 		 2025.0 	    40 		   112		   16 		   6.0
  21 		 175.0 		 885.0 		    13 		    52		   13 		   7.0
  22 		 335.0 		 2065.0 	    22 		    66		   11 		   9.0
  23 		 1370.0 	 660.0 		    26 		    78		   13 		   8.0
  24 		 1720.0 	 1685.0 	    24 		    96		   24 		   6.0
  25 		 495.0 		 2285.0 	    32 		    96		   16 		   8.0
  26 		 2260.0 	 690.0 		    11 		    44		   11 		   7.0
  27 		 1465.0 	 1865.0 	    35 		    98		   14 		   7.0
  28 		 1085.0 	 650.0 		    47 		   133		   19 		   6.0
  29 		 650.0 		 110.0 		     9 		    54		   18 		   8.0
  30 		 1875.0 	 1645.0 	    20 		    60		   10 		   8.0
  31 		 1015.0 	 645.0 		    11 		    69		   23 		   9.0
  32 		 2320.0 	 190.0 		     6 		    24		    6 		   7.0
  33 		 2345.0 	 990.0 		     9 		    36		    9 		   6.0
  34 		 1245.0 	 1360.0 	     8 		    48		   16 		   8.0
  35 		 1840.0 	 625.0 		    32 		    96		   16 		   8.0
  36 		 2335.0 	 760.0 		    26 		    78		   13 		   6.0
  37 		 565.0 		 890.0 		    20 		    56		    8 		   9.0
  38 		 2375.0 	 1320.0 	    11 		    44		   11 		   9.0
  39 		 1940.0 	   0.0 		     2 		    15		    5 		   9.0
  40 		 1950.0 	 215.0 		    42 		   126		   21 		   6.0
  41 		 1850.0 	 1945.0 	    15 		    42		    6 		   9.0
  42 		 2290.0 	 775.0 		    48 		   144		   24 		   8.0
  43 		 105.0 		 1890.0 	    50 		   140		   20 		   9.0
  44 		 1770.0 	 405.0 		     4 		    24		    8 		   7.0
  45 		 2060.0 	 490.0 		     3 		    18		    6 		   7.0
  46 		 650.0 		 305.0 		     2 		    15		    5 		   6.0
  47 		 1105.0 	 1110.0 	     5 		    20		    5 		   7.0
  48 		 800.0 		 1275.0 	    11 		    66		   22 		   7.0
  49 		 2010.0 	 2335.0 	    34 		   102		   17 		   6.0
  50 		 1575.0 	 1930.0 	    16 		    64		   16 		   9.0
